ID, LOCATION, NAME, #C1, #C2, #C3, #C4
103,''-9.95031;-36.0907'',JOAO_LIMA,10,10,10,10
14,''-10.0107;-36.0261'',MARIA_DO_SANTOS,10,10,10,10
106,''-9.95056;-36.089'',VINICIUS_DE_MORAES,10,10,10,10
130,''-9.96211;-36.0478'',IPIRANGA,10,10,10,10
72,''-9.94119;-36.1049'',FARIA_LIMA,10,10,10,10
53,''-9.88359;-36.1616'',JUNINHO_PERNAMBUCANO,20,20,20,20
6,''-10.0038;-36.0176'',AIRTON_SENNA,10,10,10,10
127,''-9.96184;-36.0499'',LULA_DA_SILVA,20,20,20,20
71,''-9.91677;-36.0345'',TOQUINHO,10,10,10,10
169,''-9.97064;-35.9798'',RITA_LEE,10,10,10,10
94,''-9.94984;-36.0923'',GETULIO_VARGAS,10,10,10,10
1,''-10.0018;-36.018'',PAULO_COELHO,10,10,10,10
28,''-9.78076;-36.0934'',EMERSON_FITTIPALDI,10,10,10,10
156,''-9.97329;-36.0357'',OSCAR_NIEMEYER,10,10,10,10
69,''-9.904;-36.2221'',JOAO_GILBERTO,10,10,10,10
165,''-9.99295;-36.0328'',TOM_JOBIM,10,10,10,10
80,''-9.94521;-36.0796'',VELHO_BARRERO,20,20,20,20
91,''-9.94926;-36.0939'',ROBERTO_CARLOS,10,10,10,10
4,''-10.0022;-36.0182'',ROMARIO,10,10,10,10
67,''-9.90249;-36.2222'',VANESSA_DA_MATA,10,10,10,10
,,,,,,
